date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:39	31064/31064	---MC-	200	added ('OK')	text/html	date:Sun,%2020%20Aug%202017%2013:10:39%20GMT	https://producttesting.uk.com/859/free-iphone-se	C:/My%20Web%20Sites/as/producttesting.uk.com/859/free-iphone-se.html	(from )
20:10:40	44/44	---M--	200	added ('OK')	text/plain	etag:%222c-52ec998896a80%22	https://producttesting.uk.com/robots.txt		(from )
20:10:41	3874/3874	---MCZ	200	added ('OK')	text/javascript	etag:W/%220638bea38ba140c3990db5fec1ef8ab7%22	https://use.fontawesome.com/2f6d190f06.js	C:/My%20Web%20Sites/as/use.fontawesome.com/2f6d190f06.js	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:41	1939/1939	---M--	200	added ('OK')	text/css	etag:%22793-52ec998896a80%22	https://producttesting.uk.com/css/normalize.css	C:/My%20Web%20Sites/as/producttesting.uk.com/css/normalize.css	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:42	78491/78491	---M--	200	added ('OK')	application/javascript	etag:%221329b-53823af343b80%22	https://producttesting.uk.com/js/dropzone.js	C:/My%20Web%20Sites/as/producttesting.uk.com/js/dropzone.js	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:42	31828/31828	---M--	200	added ('OK')	text/css	etag:%227c54-551346b46e495%22	https://producttesting.uk.com/css/ptuk/layout2/styles.css?1.1.1	C:/My%20Web%20Sites/as/producttesting.uk.com/css/ptuk/layout2/styles872c.css	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:43	20583/20583	---M--	200	added ('OK')	text/css	etag:%225067-53823af343b80%22	https://producttesting.uk.com/css/reviewUpload.css	C:/My%20Web%20Sites/as/producttesting.uk.com/css/reviewUpload.css	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:43	82783/82783	---M--	200	added ('OK')	text/css	etag:%221435f-53823af343b80%22	https://producttesting.uk.com/css/animate.css	C:/My%20Web%20Sites/as/producttesting.uk.com/css/animate.css	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:43	13358/13358	---M--	200	added ('OK')	text/css	etag:%22342e-543c48d00c92d%22	https://producttesting.uk.com/css/ptuk/banner.css	C:/My%20Web%20Sites/as/producttesting.uk.com/css/ptuk/banner.css	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:44	1100/1100	---M--	200	added ('OK')	image/png	etag:%2244c-52ec998896a80%22	https://producttesting.uk.com/img/ptusa/layout2/fbsmall.png	C:/My%20Web%20Sites/as/producttesting.uk.com/img/ptusa/layout2/fbsmall.png	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:44	1239/1239	---M--	200	added ('OK')	image/png	etag:%224d7-52ec998896a80%22	https://producttesting.uk.com/img/ptusa/layout2/twittersmall.png	C:/My%20Web%20Sites/as/producttesting.uk.com/img/ptusa/layout2/twittersmall.png	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:44	8335/8335	---M--	200	added ('OK')	image/png	etag:%22208f-53b6f58df6f80%22	https://producttesting.uk.com/img/ptusa/layout2/youtubesmall.png	C:/My%20Web%20Sites/as/producttesting.uk.com/img/ptusa/layout2/youtubesmall.png	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:44	387/387	---M--	200	added ('OK')	image/png	etag:%22183-53d1583b52dc0%22	https://producttesting.uk.com/img/ptusa/layout2/instagramsmall.png	C:/My%20Web%20Sites/as/producttesting.uk.com/img/ptusa/layout2/instagramsmall.png	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:45	23458/23458	---M--	200	added ('OK')	image/png	etag:%225ba2-534b122304dc0%22	https://producttesting.uk.com/img/ptuk/pt_logo_small.png	C:/My%20Web%20Sites/as/producttesting.uk.com/img/ptuk/pt_logo_small.png	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:47	271/271	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Aug%202017%2013:10:47%20GMT	https://www.producttesting.uk.com/uploads/categories/technology.png	C:/My%20Web%20Sites/as/www.producttesting.uk.com/uploads/categories/technology.d.delayed	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:47	1446/1446	---M--	200	added ('OK')	image/png	etag:%225a6-5207ae636c000%22	https://producttesting.uk.com/uploads/categories/technology.png	C:/My%20Web%20Sites/as/producttesting.uk.com/uploads/categories/technology.png	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:47	267/267	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Aug%202017%2013:10:47%20GMT	https://www.producttesting.uk.com/uploads/categories/beauty.png	C:/My%20Web%20Sites/as/www.producttesting.uk.com/uploads/categories/beauty.png	(from https://producttesting.uk.com/859/free-iphone-se)
20:10:47	1858/1858	---M--	200	added ('OK')	image/png	etag:%22742-5207ae636c000%22	https://producttesting.uk.com/uploads/categories/beauty.png	C:/My%20Web%20Sites/as/producttesting.uk.com/uploads/categories/beauty.png	(from https://producttesting.uk.com/859/free-iphone-se)
